ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result
Set point adjustment ratio,SPr,SPr,True,0.5,0.50,False,0,0.00,False,1,1.00,False,,,True,"Current set point adjustment value diF * SPr
The default value is set to 0.5 and the parameter is hidden by default.
""Spr"" defines the position of the set point in relation to cut-in and cut-out.
""Spr=0,5"" sets the set point mid between cut-in and cut-out.
""Spr=0"" sets the set point at the cutout. ""Spr=1"" sets the set point at cut-in.","Current set point adjustment value diF * SPr
The default value is set to 0.5 and the parameter is hidden by default.
""Spr"" defines the position of the set point in relation to cut-in and cut-out.
""Spr=0,5"" sets the set point mid between cut-in and cut-out.
""Spr=0"" sets the set point at the cutout. ""Spr=1"" sets the set point at cut-in.",True
Differential,diF,diF,True,2,2.00,False,0,0.00,False,20,20.00,False,K,K,True,"Thermostat differential
This defines the difference between the cut-out and the cut-in.
The desired temperature is determined by ""SPr"" and ""diF"".","Thermostat differential
This defines the difference between the cut-out and the cut-in.
The desired temperature is determined by ""SPr"" and ""diF"".",True
High Set point,HSE,HSE,True,50,50.00,False,-100,-100.00,False,200,200.00,False,°C,°C,True,"Upper limit of thermostat set point
Define the temperature range limit of the controller.
Once set, the desired temperatue (set point) can not go above ""HSE"" or
below ""LSE"".","Upper limit of thermostat set point
Define the temperature range limit of the controller.
Once set, the desired temperatue (set point) can not go above ""HSE"" or
below ""LSE"".",True
Low Set point,LSE,LSE,True,-35,-35.00,False,-100,-100.00,False,200,200.00,False,°C,°C,True,"Lower limit of thermostat set point
Define the temperature range limit of the controller.
Once set, the desired temperatue (set point) can not go below ""LSE"".","Lower limit of thermostat set point
Define the temperature range limit of the controller.
Once set, the desired temperatue (set point) can not go below ""LSE"".",True
Initial cut in,iCi,iCi,True,No,No,True,0,,False,1,,False,,,True,"Initial cut in
Comp relay action when Tair is between cut-in and cut-out at power-up:
""yES"": cut in the compressor.
""no"": cut out the compressor.","Initial cut in
Comp relay action when Tair is between cut-in and cut-out at power-up:
""yES"": cut in the compressor.
""no"": cut out the compressor.",True
Fan control method,FCt,FCt,True,FAo.png,FAo,False,0,,False,2,,False,,,True,"Fan control method
""FAo"": fan always on
""SEt"": fan follow compressor by manually settings
""Aut"": automatical fan control","Fan control method
""FAo"": fan always on
""SEt"": fan follow compressor by manually settings
""Aut"": automatical fan control",True
Fan On Delay,Fod,Fod,True,0,0,True,0,0,True,240,240,True,Sec,Sec,True,Fod defines the fan delay (in seconds) after a compressor cut-in.,Fod defines the fan delay (in seconds) after a compressor cut-in.,True
Fan Stop delay,FSd,FSd,True,0,0,True,0,0,True,240,240,True,Sec,Sec,True,"FSd defines the fan delay after a compressor cut-out.
If both ""Fod"" and ""FSd"" are set to zero then the fan runs whenever the
compressor runs.","FSd defines the fan delay after a compressor cut-out.
If both ""Fod"" and ""FSd"" are set to zero then the fan runs whenever the
compressor runs.",True
Fan On Cycle,FoC,FoC,True,0,0,True,0,0,True,960,960,True,Sec,Sec,True,"
When the compressor is OFF, and ""FoC"" or ""FSC"" are not zero, the fan
runs in cycles according to ""FoC"" and ""FSC"".
Example: ""FoC=120"" [sec] and ""FSC=120"" [sec] means that the fan runs
for half the time when the compressor is OFF. When the compressor is
on, the fan is always ON (according to ""FAo"" and ""Fod"").","
When the compressor is OFF, and ""FoC"" or ""FSC"" are not zero, the fan
runs in cycles according to ""FoC"" and ""FSC"".
Example: ""FoC=120"" [sec] and ""FSC=120"" [sec] means that the fan runs
for half the time when the compressor is OFF. When the compressor is
on, the fan is always ON (according to ""FAo"" and ""Fod"").",True
Fan Stop Cycle,FSC,FSC,True,0,0,True,0,0,True,960,960,True,Sec,Sec,True,"When the compressor is OFF, and ""FoC"" or ""FSC"" are not zero, the fan
runs in cycles according to ""FoC"" and ""FSC"".
Example: ""FoC=120"" [sec] and ""FSC=120"" [sec] means that the fan runs
for half the time when the compressor is OFF. When the compressor is
on, the fan is always ON (according to ""FAo"" and ""Fod"").","When the compressor is OFF, and ""FoC"" or ""FSC"" are not zero, the fan
runs in cycles according to ""FoC"" and ""FSC"".
Example: ""FoC=120"" [sec] and ""FSC=120"" [sec] means that the fan runs
for half the time when the compressor is OFF. When the compressor is
on, the fan is always ON (according to ""FAo"" and ""Fod"").",True
Fan Minimum Stop time,FSt,FSt,True,10,10,True,0,0,True,960,960,True,Sec,Sec,True,"Fan Minimum Stop time
Minimum stop time for fan protection.","Fan Minimum Stop time
Minimum stop time for fan protection.",True
Delta T For Fan cut in,FdC,FdC,True,0,0.00,False,-10,-10.00,False,10,10.00,False,K,K,True,"Fan Ät cut in
Delta T for fan to cut in which the temperature offset comparing with
thermostat cut in temperature.","Fan Ät cut in
Delta T for fan to cut in which the temperature offset comparing with
thermostat cut in temperature.",True
